epoch,last_block,stake
1675,82223490,415570.9166761321
1674,82180290,415305.0927141649
1673,82137090,415238.9153893875
1672,82093890,415171.9300850699
1671,82050690,415105.66211348353
1670,82007490,415038.89272012404
1669,81964290,414972.2826261328
1668,81921090,414905.45284399675
1667,81877890,414838.4559665833
1666,81834690,414771.4724622005
1665,81791490,414702.8496577303
1664,81748290,414634.70139405486
1663,81705090,414566.2734931293
1662,81661890,414497.44439191266
1661,81618690,414428.37202568137
1660,81575490,414357.9101649986
1659,81532290,414282.26519494265
1658,81489090,414206.33418464736
1657,81445890,414137.4617397134
1656,81402690,414069.1589040027
1655,81359490,413993.0810643735
1654,81316290,413916.7599655934
1653,81273090,413847.2338396436
1652,81229890,413847.2338396436
1651,81186690,-1.0000000000000001e-24
1650,81143490,413847.23366271745
1649,81100290,413779.8259447449
1648,81057090,413711.2521510098
1647,81013890,413643.5326015844
1646,80970690,413638.0574050114
1645,80927490,32670.538678176697
1644,80884290,32665.084636188836
1643,80841090,32659.493886831213
1642,80797890,32653.89969111486
1641,80754690,32648.319675729348
1640,80711490,32392.667281446244
1639,80668290,32387.155332444276
1638,80625090,32381.66499577865
1637,80581890,32376.228506757183
1636,80538690,32370.78972818682
1635,80495490,32365.468129595785
1634,80452290,32360.073246159693
1633,80409090,32360.072449360716
1632,80365890,-1.0000000000000001e-24
1631,80322690,-1.0000000000000001e-24
1630,80279490,-1.0000000000000001e-24
1629,80236290,-1.0000000000000001e-24
1628,80193090,-1.0000000000000001e-24
1627,80149890,-1.0000000000000001e-24
1626,80106690,-1.0000000000000001e-24
1625,80063490,-1.0000000000000001e-24
